date,all,doc,project
2017-03-01,7,0,bokeh
2017-03-02,3,0,bokeh
2017-03-03,1,0,bokeh
2017-03-04,0,0,bokeh
2017-03-05,0,0,bokeh
2017-03-06,2,0,bokeh
2017-03-07,0,0,bokeh
2017-03-08,0,0,bokeh
2017-03-09,0,0,bokeh
2017-03-10,0,0,bokeh
2017-03-11,0,0,bokeh
2017-03-01,0,0,clawpack
2017-03-02,0,0,clawpack
2017-03-03,0,0,clawpack
2017-03-04,0,0,clawpack
2017-03-05,0,0,clawpack
2017-03-06,0,0,clawpack
2017-03-07,0,0,clawpack
2017-03-08,0,0,clawpack
2017-03-09,0,0,clawpack
2017-03-10,0,0,clawpack
2017-03-11,0,0,clawpack
2017-03-01,0,0,connector-instructors
2017-03-02,0,0,connector-instructors
2017-03-03,0,0,connector-instructors
2017-03-04,0,0,connector-instructors
2017-03-05,0,0,connector-instructors
2017-03-06,0,0,connector-instructors
2017-03-07,0,0,connector-instructors
2017-03-08,0,0,connector-instructors
2017-03-09,0,0,connector-instructors
2017-03-10,0,0,connector-instructors
2017-03-11,0,0,connector-instructors
2017-03-01,5,0,deeplearning4j
2017-03-02,17,0,deeplearning4j
2017-03-03,5,0,deeplearning4j
2017-03-04,2,0,deeplearning4j
2017-03-05,14,0,deeplearning4j
2017-03-06,3,0,deeplearning4j
2017-03-07,0,0,deeplearning4j
2017-03-08,0,0,deeplearning4j
2017-03-09,0,0,deeplearning4j
2017-03-10,0,0,deeplearning4j
2017-03-11,0,0,deeplearning4j
2017-03-01,0,0,diy
2017-03-02,0,0,diy
2017-03-03,0,0,diy
2017-03-04,0,0,diy
2017-03-05,0,0,diy
2017-03-06,1,0,diy
2017-03-07,0,0,diy
2017-03-08,0,0,diy
2017-03-09,0,0,diy
2017-03-10,0,0,diy
2017-03-11,0,0,diy
2017-03-01,5,0,galaxy
2017-03-02,9,0,galaxy
2017-03-03,13,0,galaxy
2017-03-04,0,0,galaxy
2017-03-05,0,0,galaxy
2017-03-06,9,2,galaxy
2017-03-07,0,0,galaxy
2017-03-08,0,0,galaxy
2017-03-09,0,0,galaxy
2017-03-10,0,0,galaxy
2017-03-11,0,0,galaxy
2017-03-01,0,0,cottoncandy
2017-03-02,5,0,cottoncandy
2017-03-03,0,0,cottoncandy
2017-03-04,0,0,cottoncandy
2017-03-05,0,0,cottoncandy
2017-03-06,10,9,cottoncandy
2017-03-07,0,0,cottoncandy
2017-03-08,0,0,cottoncandy
2017-03-09,0,0,cottoncandy
2017-03-10,0,0,cottoncandy
2017-03-11,0,0,cottoncandy
2017-03-01,0,0,pycortex
2017-03-02,0,0,pycortex
2017-03-03,0,0,pycortex
2017-03-04,0,0,pycortex
2017-03-05,0,0,pycortex
2017-03-06,0,0,pycortex
2017-03-07,0,0,pycortex
2017-03-08,0,0,pycortex
2017-03-09,0,0,pycortex
2017-03-10,0,0,pycortex
2017-03-11,0,0,pycortex
2017-03-01,3,0,ipython
2017-03-02,4,0,ipython
2017-03-03,1,1,ipython
2017-03-04,0,0,ipython
2017-03-05,1,0,ipython
2017-03-06,1,0,ipython
2017-03-07,0,0,ipython
2017-03-08,0,0,ipython
2017-03-09,0,0,ipython
2017-03-10,0,0,ipython
2017-03-11,0,0,ipython
2017-03-01,3,0,pomegranate
2017-03-02,0,0,pomegranate
2017-03-03,0,0,pomegranate
2017-03-04,0,0,pomegranate
2017-03-05,0,0,pomegranate
2017-03-06,0,0,pomegranate
2017-03-07,0,0,pomegranate
2017-03-08,0,0,pomegranate
2017-03-09,0,0,pomegranate
2017-03-10,0,0,pomegranate
2017-03-11,0,0,pomegranate
2017-03-01,12,0,julia
2017-03-02,6,0,julia
2017-03-03,10,0,julia
2017-03-04,4,0,julia
2017-03-05,2,0,julia
